national_park_th,national_park_en,star,review,img_url,en_url,google_map_url,region,province,status,url,lat,long,review_for_plot,star_normalize,geometry,region_en,province_en,group
อุทยานแห่งชาติคลองลาน,Khlong Lan National Park,4.6,643,https://lh5.googleusercontent.com/p/AF1QipN2oBpsSNPgyM_KSwlzC3nI1haIGhu2w173Lvst,"https://www.google.com/maps/place/Khlong+Lan+National+Park/@16.129768,99.2821973,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b281254e670f:0xf601ca9d705ae442!8m2!3d16.129768!4d99.2821973?hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%A5%E0%B8%B2%E0%B8%99/@16.129768,99.2821973,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b281254e670f:0xf601ca9d705ae442!8m2!3d16.129768!4d99.2821973",ภาคเหนือ,จังหวัดกำแพงเพชร,True,https://portal.dnp.go.th/Content/nationalpark?contentId=900,16.129768,99.28219729999999,10.0,0.9433114254849104,POINT (16.129768 99.28219729999999),Northern,KampaengPhet,Group 2
อุทยานแห่งชาติคลองวังเจ้า,Khlong Wang Chao National Park,4.5,408,https://pbs.twimg.com/media/DxUoAijUUAETmJX.jpg,"https://www.google.com/maps/place/Khlong+Wang+Chao+National+Park/@16.5060382,99.1704044,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b195950f896b:0xf4efa48e8203f4f3!8m2!3d16.5060382!4d99.1704044?authuser=0&hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%84%E0%B8%A5%E0%B8%AD%E0%B8%87%E0%B8%A7%E0%B8%B1%E0%B8%87%E0%B9%80%E0%B8%88%E0%B9%89%E0%B8%B2/@16.5060382,99.1704044,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b195950f896b:0xf4efa48e8203f4f3!8m2!3d16.5060382!4d99.1704044?authuser=0&hl=th",ภาคเหนือ,จังหวัดกำแพงเพชร,True,https://portal.dnp.go.th/Content/nationalpark?contentId=902,16.5060382,99.17040440000001,10.0,0.3743881922158007,POINT (16.5060382 99.17040440000001),Northern,KampaengPhet,Group 2
อุทยานแห่งชาติแม่วงก์,Mae Wong National Park,4.4,545,https://scontent.fbkk7-3.fna.fbcdn.net/v/t39.30808-6/246425296_4417251681663735_7885982571734466753_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=e3f864&_nc_ohc=ZibAs2m_m3IAX9AY0Lg&_nc_ht=scontent.fbkk7-3.fna&oh=00_AT-9R6z5vY96TgH6q2kF1ADakaJ3vphM_BOpGXKK_ED16A&oe=634E9495,"https://www.google.com/maps/place/Tourist-Service+Center+of+Mae+Wong+National+Park/@16.0390625,99.2334251,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b692323868bd:0x1d0100b2df32ff70!8m2!3d16.0390625!4d99.2334251?hl=en","https://www.google.com/maps/place/%E0%B8%A8%E0%B8%B9%E0%B8%99%E0%B8%A2%E0%B9%8C%E0%B8%9A%E0%B8%A3%E0%B8%B4%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%99%E0%B8%B1%E0%B8%81%E0%B8%97%E0%B9%88%E0%B8%AD%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%A2%E0%B8%A7%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B9%81%E0%B8%A1%E0%B9%88%E0%B8%A7%E0%B8%87%E0%B8%81%E0%B9%8C/@16.0390625,99.2334251,17z/data=!3m1!4b1!4m5!3m4!1s0x30e0b692323868bd:0x1d0100b2df32ff70!8m2!3d16.0390625!4d99.2334251",ภาคเหนือ,จังหวัดกำแพงเพชร,True,https://portal.dnp.go.th/Content/nationalpark?contentId=894,16.0390625,99.23342509999999,10.0,-0.19453504105330915,POINT (16.0390625 99.23342509999999),Northern,KampaengPhet,Group 2
อุทยานแห่งชาติขุนแจ,Khun Chae National Park,4.3,403,https://scontent.fbkk7-2.fna.fbcdn.net/v/t39.30808-6/249802289_3184956785057160_4037104258235649050_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=730e14&_nc_ohc=VBzYKJNypS8AX_9PQc0&_nc_oc=AQlbmRWqn1FrOXm8ydBbzUPixaHu-llgm-MpLvV3JXyRjqjyGwp1f6PD8czcr9Wscjk&_nc_ht=scontent.fbkk7-2.fna&oh=00_AT_SW3qLeKJrCKARtdqtPf5s3SpaF0l6pTyPMDvGXTCn-A&oe=634F1113,"https://www.google.com/maps/place/Khun+Chae+National+Park/@19.0767882,99.3993691,17z/data=!3m1!4b1!4m5!3m4!1s0x30d996bdea4f081d:0x60a197c7ea4ab17e!8m2!3d19.0767882!4d99.3993691?hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B9%81%E0%B8%88/@19.0767882,99.3993691,17z/data=!3m1!4b1!4m5!3m4!1s0x30d996bdea4f081d:0x60a197c7ea4ab17e!8m2!3d19.0767882!4d99.3993691",ภาคเหนือ,จังหวัดเชียงราย,True,https://portal.dnp.go.th/Content/nationalpark?contentId=903,19.0767882,99.3993691,10.0,-0.7634582743224241,POINT (19.0767882 99.3993691),Northern,ChiangRai,Group 2
อุทยานแห่งชาติดอยหลวง,Doi Luang National Park,4.3,1514,https://lh5.googleusercontent.com/p/AF1QipMyhiqedM-akgoHb2q2jQAuHTeupoh0__Fn_K-2,"https://www.google.com/maps/place/Doi+Luang+National+Park/@19.443892,99.7030842,17z/data=!3m1!4b1!4m5!3m4!1s0x30d77ce699fa8c15:0x751a7e2404b5c94a!8m2!3d19.443892!4d99.7030842?authuser=0&hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87/@19.443892,99.7030842,17z/data=!3m1!4b1!4m5!3m4!1s0x30d77ce699fa8c15:0x751a7e2404b5c94a!8m2!3d19.443892!4d99.7030842?authuser=0&hl=th",ภาคเหนือ,จังหวัดเชียงราย,True,https://portal.dnp.go.th/Content/nationalpark?contentId=904,19.443892,99.7030842,15.14,-0.7634582743224241,POINT (19.443892 99.7030842),Northern,ChiangRai,Group 1
อุทยานแห่งชาติถ้ำหลวง - ขุนน้ำนางนอน ,Thamluang Khunnam Nangnon National Park,4.3,3084,https://lh5.googleusercontent.com/p/AF1QipOGGFZUHuk3nTI_lhY8KZopEdlxRn1nuUXyfbeS,"https://www.google.com/maps/place/Thamluang+Khunnam+Nangnon+National+Park/@20.3812769,99.8674341,17z/data=!3m1!4b1!4m5!3m4!1s0x30d6f5bb1e1220c7:0xa5068562c8c64890!8m2!3d20.3812769!4d99.8674341?hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%96%E0%B9%89%E0%B8%B3%E0%B8%AB%E0%B8%A5%E0%B8%A7%E0%B8%87-%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%99%E0%B8%B2%E0%B8%87%E0%B8%99%E0%B8%AD%E0%B8%99/@20.3812769,99.8674341,17z/data=!3m1!4b1!4m5!3m4!1s0x30d6f5bb1e1220c7:0xa5068562c8c64890!8m2!3d20.3812769!4d99.8674341",ภาคเหนือ,จังหวัดเชียงราย,False,https://portal.dnp.go.th/Content/nationalpark?contentId=11653,20.381276899999996,99.86743409999998,30.84,-0.7634582743224241,POINT (20.381276899999996 99.86743409999998),Northern,ChiangRai,Group 1
อุทยานแห่งชาติภูชี้ฟ้า ,Phu Chi Fa,4.6,418,https://lh5.googleusercontent.com/p/AF1QipMi8DBlZAf3KAlohrXmI9dZLsvnSlYiYR7mLwU5,"https://www.google.com/maps/place/Phu+Chi+Fa/@19.8505553,100.4538889,15z/data=!3m1!4b1!4m5!3m4!1s0x30d7d01978dac17d:0x1d0100b2deabcfc0!8m2!3d19.8505556!4d100.4538889?hl=en","https://www.google.com/maps/place/Phu+Chifa/@19.8505553,100.4538889,15z/data=!3m1!4b1!4m5!3m4!1s0x30d7d01978dac17d:0x1d0100b2deabcfc0!8m2!3d19.8505556!4d100.4538889",ภาคเหนือ,จังหวัดเชียงราย,False,https://portal.dnp.go.th/Content/nationalpark?contentId=7348,19.8505553,100.45388890000001,10.0,0.9433114254849104,POINT (19.8505553 100.45388890000001),Northern,ChiangRai,Group 2
อุทยานแห่งชาติลำน้ำกก ,Lam Nam Kok National Park,4.2,119,https://scontent.fbkk7-3.fna.fbcdn.net/v/t39.30808-6/309131919_459197289577135_1704599873517227648_n.jpg?_nc_cat=101&ccb=1-7&_nc_sid=8bfeb9&_nc_eui2=AeGfHQcUFhfnwBl8dUF8VvOjREWPE3AvLGlERY8TcC8saQyqwNonb8KzZdZn-fAUvkE&_nc_ohc=8e3GR9K5L2sAX-3zQGL&_nc_ht=scontent.fbkk7-3.fna&oh=00_AT8kbXOc_rx6_MkcGZTG6eR4AFgorXe25kCpI5gWbGSY9Q&oe=634E87BA,"https://www.google.com/maps/place/Lam+Nam+Kok+National+Park/@19.9630913,99.6796799,17z/data=!3m1!4b1!4m5!3m4!1s0x30d704ff12d89ac3:0xbf24bd5d0bf2a51e!8m2!3d19.9630913!4d99.6796799?hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%A5%E0%B8%B3%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%81%E0%B8%81/@19.9630913,99.6796799,17z/data=!3m1!4b1!4m5!3m4!1s0x30d704ff12d89ac3:0xbf24bd5d0bf2a51e!8m2!3d19.9630913!4d99.6796799",ภาคเหนือ,จังหวัดเชียงราย,False,https://portal.dnp.go.th/Content/nationalpark?contentId=905,19.9630913,99.67967990000001,10.0,-1.3323815075915335,POINT (19.9630913 99.67967990000001),Northern,ChiangRai,Group 3
อุทยานแห่งชาติขุนขาน,Khun Khan National Park,4.7,18,https://lh5.googleusercontent.com/p/AF1QipO5zvMEednFb3TUYhCPXzflQE1CkgxWcF2seVZG,"https://www.google.com/maps/place/Khun+Khan+National+Park/@18.8534047,98.6217699,17z/data=!3m1!4b1!4m5!3m4!1s0x30da5b7ecb344589:0xea7a4b7f97ead67c!8m2!3d18.8534047!4d98.6217699?authuser=0&hl=en","https://www.google.com/maps/place/%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%82%E0%B8%B8%E0%B8%99%E0%B8%82%E0%B8%B2%E0%B8%99/@18.8534047,98.6217699,17z/data=!3m1!4b1!4m5!3m4!1s0x30da5b7ecb344589:0xea7a4b7f97ead67c!8m2!3d18.8534047!4d98.6217699?authuser=0&hl=th",ภาคเหนือ,จังหวัดเชียงใหม่,True,https://portal.dnp.go.th/Content/nationalpark?contentId=907,18.8534047,98.6217699,10.0,1.5122346587540254,POINT (18.8534047 98.6217699),Northern,ChiangMai,Group 3
อุทยานแห่งชาติดอยผ้าห่มปก,Doi Pha Hom Pok National Park,4.8,34,https://lh5.googleusercontent.com/p/AF1QipMdtThS7ZRyuN9lsK3ruJx4WxFkwA_X04VPnvE1,"https://www.google.com/maps/place/Doi+Pha+Hom+Pok+National+Park+Office/@19.9660447,99.1548947,17z/data=!3m1!4b1!4m5!3m4!1s0x30d0d30e8d349fa7:0x904be3dd29855f7a!8m2!3d19.9660622!4d99.1549243?authuser=0&hl=en","https://www.google.com/maps/place/%E0%B8%97%E0%B8%B5%E0%B9%88%E0%B8%97%E0%B8%B3%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%AD%E0%B8%B8%E0%B8%97%E0%B8%A2%E0%B8%B2%E0%B8%99%E0%B9%81%E0%B8%AB%E0%B9%88%E0%B8%87%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%B4%E0%B8%94%E0%B8%AD%E0%B8%A2%E0%B8%9C%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B9%88%E0%B8%A1%E0%B8%9B%E0%B8%81/@19.9660447,99.1548947,17z/data=!3m1!4b1!4m5!3m4!1s0x30d0d30e8d349fa7:0x904be3dd29855f7a!8m2!3d19.9660622!4d99.1549243?authuser=0&hl=th",ภาคเหนือ,จังหวัดเชียงใหม่,True,https://portal.dnp.go.th/Content/nationalpark?contentId=908,19.966044699999998,99.1548947,10.0,2.081157892023135,POINT (19.966044699999998 99.1548947),Northern,ChiangMai,Group 3
