id,parent,total_value,thai_value,foreign_value
Ao Manao-Khao Tanyong,Narathiwat,39152.0,39107.0,45.0
Ao Phang Nga,Phangnga,161716.0,58945.0,102771.0
Ao Sayam,PrachuapKhilikhan,1886.0,1853.0,33.0
Bang Lang,Yala,11044.0,10917.0,127.0
Budo Su-Ngai Padi,Narathiwat,25913.0,25811.0,102.0
Khao Sam Roi Yot,PrachuapKhilikhan,87158.0,72430.0,14728.0
Chae Son,Lampang,134799.0,133239.0,1560.0
Chaloem Phra Kiat Thai Prachan,Ratchaburi,33210.0,33084.0,126.0
Chaloem Rattanakosin,Kanchanaburi,27178.0,26963.0,215.0
Chattrakan Waterfall,Phitsanulok,10048.0,9916.0,132.0
Pha Daeng,ChiangMai,16555.0,15594.0,961.0
Doi Chong,Lampang,871.0,869.0,2.0
Doi Inthanon,ChiangMai,278391.0,216169.0,62222.0
Doi Khun Tan,Lamphun,7660.0,7276.0,384.0
Huai Nam Dang,ChiangMai,49428.0,41304.0,8124.0
Doi Luang,ChiangRai,21037.0,20852.0,185.0
Doi Pha Hom Pok,ChiangMai,54081.0,53168.0,913.0
Doi Pha Klong,Phrae,1850.0,1842.0,8.0
Doi Phu Kha,Nan,15711.0,15387.0,324.0
Doi Phu Nang,Phayao,8821.0,8705.0,116.0
Doi Soi Malai,Tak,24367.0,24221.0,146.0
Doi Suthep-Pui,ChiangMai,105808.0,81786.0,24022.0
Doi Wiang Pha,ChiangMai,715.0,714.0,1.0
Erawan,Kanchanaburi,282143.0,233023.0,49120.0
Hat Chao Mai,Trang,138644.0,137554.0,1090.0
Hat Khanom-Mu Koh Thale Tai,NakhonSiThammarat,36487.0,36416.0,71.0
Hat Nappharat Thara-Mu Ko Phi Phi,Krabi,409882.0,245408.0,164474.0
Hat Wanakorn,PrachuapKhilikhan,32528.0,32251.0,277.0
Kaeng Krachan,Phetchaburi,81275.0,75012.0,6263.0
Kaeng Krung,SuratThani,749.0,741.0,8.0
Kaeng Tana,UbonRatchathani,14959.0,14813.0,146.0
Khao Chamao-Khao Wong,Rayong,88962.0,85974.0,2988.0
Khao Khitchakut,Chanthaburi,175732.0,174920.0,812.0
Khao Kho,Phetchabun,22415.0,22031.0,384.0
Khao Laem,Kanchanaburi,32770.0,32714.0,56.0
Khao Laem Ya–Mu Ko Samet,Rayong,490987.0,444341.0,46646.0
Khao Lak-Lam Ru,Phangnga,22444.0,16385.0,6059.0
