Parent,Province,Total,Thai,Foreigner
Central,Bangkok,26401150,21349176,5051974
Central,Lopburi,3102619,3099245,3374
Central,PhraNakhonSiAyudhya,5624651,5503736,120915
Central,Saraburi,2833922,2828449,5473
Central,Chainat,578974,578172,802
Central,NakhonPathom,2104471,2098933,5538
Central,Singburi,443100,441204,1896
Central,AngThong,504709,504459,250
Central,Nonthaburi,1706589,1661949,44640
Central,PathumThani,959474,945595,13879
Central,SamutPrakarn,1486107,1212521,273586
Central,SamutSakhon,368929,367612,1317
Central,NakhonNayok,3279302,3276541,2761
Central,SamutSongkham,3134191,3123317,10874
Central,Suphanburi,2484708,2478096,6612
Northern,NakhonSawan,1228376,1221209,7167
Northern,UthaiThani,630590,630386,204
Thailand,Central,0,0,0
Western,Ratchaburi,1138324,1127939,10385
Western,Kanchanaburi,8354590,8310769,43821
Western,Phetchaburi,6473971,6447477,26494
Western,PrachuapKhilikhan,6791493,6726182,65311
Thailand,Western,0,0,0
Eastern,Chonburi,9112347,8736694,375653
Eastern,Chanthaburi,998545,992314,6231
Eastern,Trad,958043,938058,19985
Eastern,Chachoengsao,1088380,1087234,1146
Eastern,Phachinburi,763567,762066,1501
Eastern,Rayong,1728644,1675479,53165
Eastern,SaKaeo,807774,803348,4426
Thailand,Eastern,0,0,0
Southern,Phuket,2847027,1558086,1288941
Southern,Phatthalung,420651,419582,1069
Southern,Trang,697736,693762,3974
Southern,Ranong,347341,342893,4448
Southern,Chumphon,772229,770143,2086
Southern,Pattani,169554,163534,6020
Southern,Yala,687264,632200,55064
Southern,NakhonSiThammarat,1375412,1372612,2800
Southern,Narathiwat,234518,206598,27920
Southern,Krabi,1204144,1015296,188848
Southern,Songkhla,1766587,1343553,423034
Southern,Phangnga,943345,663416,279929
Southern,SuratThani,2499671,1989680,509991
Southern,Satun,1194418,1178496,15922
Thailand,Southern,0,0,0
Northern,KampaengPhet,565913,557166,8747
Northern,ChiangRai,3426315,3321788,104527
Northern,ChiangMai,5946186,5615198,330988
Northern,Phichit,497600,496859,741
Northern,Tak,1110241,1107172,3069
Northern,Phitsanulok,1848947,1828455,20492
Northern,Phayao,696708,674792,21916
Northern,Phetchabun,1532957,1511000,21957
Northern,Phrae,857475,851347,6128
Northern,Lampang,1074195,1064663,9532
Northern,Lamphun,791347,774912,16435
Northern,MaeHongSon,745881,693648,52233
Northern,Uttaradit,642562,640002,2560
Northern,Sukhothai,609479,570830,38649
Northern,Nan,937909,925221,12688
Thailand,Northern,0,0,0
Northeastern,Kalasin,474383,471721,2662
Northeastern,KhonKaen,2479087,2459645,19442
Northeastern,Chaiyaphum,785467,782689,2778
Northeastern,NakhonPhanom,1073293,1044368,28925
Northeastern,NakhonRatchasima,4347171,4298080,49091
Northeastern,Buriram,1932157,1922034,10123
Northeastern,MahaSarakham,342382,338096,4286
Northeastern,Mukdahan,1162148,1129435,32713
Northeastern,RoiEt,437898,434658,3240
Northeastern,Loei,1230064,1223860,6204
Northeastern,SiSaket,684695,682995,1700
Northeastern,Surin,563820,561242,2578
Northeastern,NongKhai,1479937,1298636,181301
Northeastern,BuengKan,538839,530599,8240
Northeastern,UdonThani,2247667,2156168,91499
Northeastern,UbonRatchathani,1569084,1564728,4356
Northeastern,SakonNakhon,1130822,1125716,5106
Northeastern,Yasothon,322403,321560,843
Northeastern,AmnatCharoen,159419,158561,858
Northeastern,NongBuaLamphu,194417,193968,449
Thailand,Northeastern,0,0,0
,Thailand,0,0,0
